KODE;NOMENKLATUR
000;Bukan Tematik
001;Anggaran Infrastruktur
002;Kerjasama Selatan-Selatan dan Triangular (KSST)
003;Anggaran Responsif Gender
004;Mitigasi perubahan Iklim
005;Anggaran Pendidikan
