KODE;NOMENKLATUR
1;Menghadirkan Kembali Negara Untuk Melindungi Segenap Bangsa dan Memberi Rasa Aman Pada Seluruh Warga Negara
2;Membuat Pemerintah Tidak Absen dengan Membangun Tata Kelola Pemerintahan yang Bersih, Efektif, Demo-Kratis dan Terpercaya
3;Membangun Indonesia Dari Pinggiran dengan Memperkuat Daerah-Daerah dan Desa Dalam Kerangka Negara Kesatuan
4;Menolak Negara Lemah dengan Melalukan Reformasi Sistem Penegakan Hukum yang Bebas Korupsi, Bermartabat dan Terpercaya
5;Meningkatkan Kualitas Hidup Manusia Indonesia Melalui: Indonesia Pintar, Indonesia Sehat, Indonesia Kerja dan Indonesia Sejahtera
6;Meningkatkan Produktivitas Rakyat dan Daya Saing di Pasar Internasional
7;Mewujudkan Kemandirian Ekonomi dengan Menggerakkan Sektor-Sektor Strategis Ekonomi Domestik
8;Melakukan Revolusi Karakter Bangsa
9;Memperteguh Kebhinekaan dan Memperkuat Restorasi Sosial
