KODE;NOMENKLATUR
51;Pendidikan
52;Kesehatan
53;Perumahan dan Permukiman
54;Pengembangan Dunia Usaha dan Pariwisata
55;Ketahanan Energi
56;Ketahanan Pangan
57;Penanggulangan Kemiskinan
58;Infrastruktur, Konektivitas, dan Kemaritiman
59;Pembangunan wilayah
60;Politik, Hukum, dan Pertahanan Keamanan
61;Prioritas Nasional Khusus
