used_id,krisna_id,name
3603,2904,Kabupaten Tangerang
3604,2901,Kabupaten Serang
3671,2951,Tangerang
3672,2952,Cilegon
3673,2953,Serang
3674,2954,Tangerang Selatan
5101,2202,Jembrana
5101,2209,Jembrana
5102,2208,Tabanan
5103,2207,Badung
5104,2204,Gianyar
5105,2203,Klungkung
5106,2206,Bangli
5107,2205,Karangasem
5108,2201,Buleleng
5171,2251,Denpasar
5201,2301,Lombok Barat
5202,2302,Lombok Tengah
5203,2303,Lombok Timur
5204,2305,Sumbawa
5205,2306,Dompu
5207,2307,Sumbawa Barat
5208,2308,Lombok Utara
5271,2351,Mataram
5272,2304,Bima
5301,2412,Sumba Barat
5302,2411,Sumba Timur
5303,2401,Kupang
5304,2404,Timor Tengah Selatan
5304,2416,Timor Tengah Selatan
5305,2403,Timor Tengah Utara
5306,2422,Belu
5306,2402,Belu
5307,2405,Alor
5308,2413,Lembata
5309,2407,Flores Timur
5310,2406,Sikka
5311,2408,Ende
5312,2409,Ngada
5313,2410,Manggarai
5314,2414,Rote Ndao
5315,2415,Manggarai Barat
5316,2418,Sumba Tengah
5317,2419,Sumba Barat Daya
5318,2417,Nagekeo
5319,2420,Manggarai Timur
5320,2421,Sabu Raijua
5371,2451,Kota Kupang
6101,1301,Sambas
6102,1307,Bengkayang
6103,1308,Landak
6104,1304,Mempawah
6105,1302,Sanggau
6106,1306,Ketapang
6107,1303,Sintang
6108,1305,Kapuas Hulu
6109,1310,Sekadau
6110,1309,Melawi
6111,1311,Kayong Utara
6112,1312,Kubu Raya
6171,1351,Pontianak
6172,1352,Singkawang
6201,1405,Kotawaringin Barat
6202,1404,Kotawaringin Timur
6203,1401,Kapuas
6204,1403,Barito Selatan
6205,1402,Barito Utara
6206,1408,Sukamara
6207,1409,Lamandau
6208,1407,Seruyan
6209,1406,Katingan
6210,1411,Pulang Pisau
6211,1410,Gunung Mas
6212,1413,Barito Timur
6213,1412,Murung Raya
6271,1451,Palangka Raya
6301,1502,Tanah Laut
6302,1508,Kota Baru
6303,1501,Banjar
6304,1506,Barito Kuala
6305,1503,Tapin
