kd_prov;provinsi;kd_kota;Kota
20;Provinsi Sulawesi Tenggara;2011;Kab. Buton Utara
20;Provinsi Sulawesi Tenggara;2052;Kota Bau-Bau
06;Provinsi Aceh;0609;Kab. Simeuleu
06;Provinsi Aceh;0610;Kab. Aceh Singkil
06;Provinsi Aceh;0604;Kab. Aceh Timur
06;Provinsi Aceh;0609;Kab. Simeuleu
07;Provinsi Sumatera Utara;0701;Kab. Deliserdang
07;Provinsi Sumatera Utara;0713;Kab. Mandailing Natal
07;Provinsi Sumatera Utara;0705;Kab. Simalungun
07;Provinsi Sumatera Utara;0709;Kab. Tapanuli Selatan
07;Provinsi Sumatera Utara;0704;Kab. Tapanuli Tengah
07;Provinsi Sumatera Utara;0708;Kab. Tapanuli Utara
08;Provinsi Sumatera Barat;0806;Kab. Pesisir Selatan
08;Provinsi Sumatera Barat;0813;Kab. Sijunjung
10;Provinsi Jambi;1004;Kab. Sarolangun
10;Provinsi Jambi;1008;Kab. Tebo
09;Provinsi Riau;0908;Kab. Rokan Hilir
11;Provinsi Sumatera Selatan;1105;Kab. Muara Enim
11;Provinsi Sumatera Selatan;1103;Kab. Musi Banyu Asin
30;Provinsi Kepulauan Bangka Beli;3001;Kab. Belitung
12;Provinsi Lampung;1213;Kab. Pesisir Barat
02;Provinsi Jawa Barat;0221;Kab. Bandung Barat
02;Provinsi Jawa Barat;0205;Kab. Bogor
02;Provinsi Jawa Barat;0214;Kab. Garut
03;Provinsi Jawa Tengah;0315;Kab. Banyumas
03;Provinsi Jawa Tengah;0312;Kab. Jepara
03;Provinsi Jawa Tengah;0311;Kab. Pemalang
03;Provinsi Jawa Tengah;0322;Kab. Purworejo
03;Provinsi Jawa Tengah;0327;Kab. Sukoharjo
03;Provinsi Jawa Tengah;0329;Kab. Wonogiri
04;Provinsi DI Yogyakarta;0401;Kab. Bantul
04;Provinsi DI Yogyakarta;0403;Kab. Gunungkidul
05;Provinsi Jawa Timur;0525;Kab. Ponorogo
22;Provinsi Bali;2206;Kab. Bangli
23;Provinsi Nusa Tenggara Barat;2304;Kab. Bima
24;Provinsi Nusa Tenggara Timur;2405;Kab. Alor
24;Provinsi Nusa Tenggara Timur;2408;Kab. Ende
24;Provinsi Nusa Tenggara Timur;2407;Kab. Flores Timur
24;Provinsi Nusa Tenggara Timur;2410;Kab. Manggarai
24;Provinsi Nusa Tenggara Timur;2417;Kab. Nagekeo
24;Provinsi Nusa Tenggara Timur;2414;Kab. Rote Ndao
24;Provinsi Nusa Tenggara Timur;2404;Kab. Timor Tengah Selatan
24;Provinsi Nusa Tenggara Timur;2403;Kab. Timor Tengah Utara
13;Provinsi Kalimantan Barat;1310;Kab. Sekadau
14;Provinsi Kalimantan Tengah;1402;Kab. Barito Utara
14;Provinsi Kalimantan Tengah;1404;Kab. Kotawaringin Timur
14;Provinsi Kalimantan Tengah;1403;Kab. Barito Selatan
15;Provinsi Kalimantan Selatan;1501;Kab. Banjar
15;Provinsi Kalimantan Selatan;1507;Kab. Tabalong
15;Provinsi Kalimantan Selatan;1510;Kab. Tanah Bumbu
15;Provinsi Kalimantan Selatan;1502;Kab. Tanah Laut
17;Provinsi Sulawesi Utara;1702;Kab. Minahasa
17;Provinsi Sulawesi Utara;1706;Kab. Minahasa Selatan
31;Provinsi Gorontalo;3102;Kab. Boalemo
31;Provinsi Gorontalo;3103;Kab. Pohuwato
19;Provinsi Sulawesi Selatan;1911;Kab. Bulukumba
19;Provinsi Sulawesi Selatan;1902;Kab. Gowa
19;Provinsi Sulawesi Selatan;1909;Kab. Luwu
19;Provinsi Sulawesi Selatan;1901;Kab. Pinrang
19;Provinsi Sulawesi Selatan;1910;Kab. Sinjai
19;Provinsi Sulawesi Selatan;1919;Kab. Soppeng
19;Provinsi Sulawesi Selatan;1915;Kab. Takalar
19;Provinsi Sulawesi Selatan;1906;Kab. Tanatoraja
20;Provinsi Sulawesi Tenggara;2012;Kab. Kolaka Timur
34;Provinsi Sulawesi Barat;3405;Kab. Mamasa
06;Provinsi Aceh;0615;Kab. Nagan Raya
02;Provinsi Jawa Barat;0206;Kab. Sukabumi
08;Provinsi Sumatera Barat;0804;Kab. Solok
11;Provinsi Sumatera Selatan;1110;Kab. Oku Timur
11;Provinsi Sumatera Selatan;1111;Kab. Oku Selatan
12;Provinsi Lampung;1202;Kab. Lampung Tengah
03;Provinsi Jawa Tengah;0319;Kab. Magelang
05;Provinsi Jawa Timur;0508;Kab. Bangkalan
13;Provinsi Kalimantan Barat;1308;Kab. Landak
13;Provinsi Kalimantan Barat;1305;Kab. Kapuas Hulu
13;Provinsi Kalimantan Barat;1306;Kab. Ketapang
13;Provinsi Kalimantan Barat;1302;Kab. Sanggau
26;Provinsi Bengkulu;2606;Kab. Muko-Muko
25;Provinsi Papua;2508;Kab. Jayawijaya
24;Provinsi Nusa Tenggara Timur;2415;Kab. Manggarai Barat
19;Provinsi Sulawesi Selatan;1925;Kab. Toraja Utara
19;Provinsi Sulawesi Selatan;1924;Kab. Luwu Timur
19;Provinsi Sulawesi Selatan;1912;Kab. Bantaeng
18;Provinsi Sulawesi Tengah;1814;Kab. Morowali Utara
18;Provinsi Sulawesi Tengah;1806;Kab. Morowali
17;Provinsi Sulawesi Utara;1703;Kab. Bolaang Mongondow
15;Provinsi Kalimantan Selatan;1508;Kab. Kotabaru
14;Provinsi Kalimantan Tengah;1413;Kab. Barito Timur
14;Provinsi Kalimantan Tengah;1412;Kab. Murung Raya
13;Provinsi Kalimantan Barat;1312;Kab. Kubu Raya
03;Provinsi Jawa Tengah;0318;Kab. Banjarnegara
20;Provinsi Sulawesi Tenggara;2000;Provinsi Sulawesi Tenggara
15;Provinsi Kalimantan Selatan;1500;Provinsi Kalimantan Selatan
35;Provinsi Kalimantan Utara;3502;Kab. Nunukan
13;Provinsi Kalimantan Barat;1352;Kota Singkawang
13;Provinsi Kalimantan Barat;1310;Kab. Sekadau
06;Provinsi Aceh;0608;Kab. Aceh Tenggara
10;Provinsi Jambi;1008;Kab. Tebo
33;Provinsi Papua Barat;3303;Kab. Fak Fak
33;Provinsi Papua Barat;3306;Kab. Teluk Bintuni
02;Provinsi Jawa Barat;0218;Kab. Kuningan
03;Provinsi Jawa Tengah;0321;Kab. Wonosobo
06;Provinsi Aceh;0613;Kab. Aceh Gayo Lues
11;Provinsi Sumatera Selatan;1111;Kab. Oku Selatan
18;Provinsi Sulawesi Tengah;1807;Kab. Banggai Kepulauan
19;Provinsi Sulawesi Selatan;1913;Kab. Jeneponto
19;Provinsi Sulawesi Selatan;1907;Kab. Maros
